"variable","coef"
"offensive_index.x",0.00041809610999312
"offensive_index.y",-0.000420639474702787
"defense_index.x",0.000636908337393636
"defense_index.y",-0.00063721684677172
"MOR.x",-0.00399531414448665
"MOR.y",0.00399595624035777
"POM.x",-0.00400062129878767
"POM.y",0.00400042653180266
"MAS.x",-0.00399739778130735
"MAS.y",0.00399677014689269
